0.000000,18_05_2021_18_32_55,3015.200000
0.050000,18_05_2021_19_31_14,3015.200000
-0.100000,18_05_2021_20_29_34,3015.200000
-0.100000,18_05_2021_21_27_53,3015.200000
0.000000,18_05_2021_22_26_12,3015.200000
-0.050000,18_05_2021_23_24_32,3015.200000
-0.100000,19_05_2021_00_22_51,3015.200000
0.100000,19_05_2021_01_21_11,3015.200000
-0.050000,19_05_2021_02_19_30,3015.200000
0.200000,19_05_2021_03_17_49,3015.200000
-0.100000,19_05_2021_04_16_09,3015.200000
-0.100000,19_05_2021_05_14_29,3015.200000
-0.100000,19_05_2021_06_12_49,3015.200000
0.000000,19_05_2021_07_11_08,3015.200000
-0.100000,19_05_2021_08_09_28,3015.200000
0.050000,19_05_2021_09_07_47,3015.200000
